Title,Description,Labels,Priority,Project,Status,Parent,Estimate
Epic: Policy Snapshot Extractor (Policy Graph),"Convert merchant return policies (PDF/URL) into a versioned Policy Graph with hashing, diffing, and human-in-loop validation. Success: 2 real policies parsed end-to-end; deterministic hashes; diff approved.

Phase: Phase 0 - Foundations
Definition of Done:
- Meets spec acceptance criteria for the epic.
- Linked pilot(s) can exercise paths end-to-end.","Epic, Phase 0 - Foundations",High,Agentic Returns v0,Done,,
Epic: Returns API + Return Token (RT),"Expose 3 endpoints: POST /returns/token, /authorize, /commit. Short-lived signed RT (Ed25519/ES256), idempotency, rate limits, observability. Success: End-to-end decision with signed Evidence Bundle.

Phase: Phase 1 - Returns API Core
Definition of Done:
- Meets spec acceptance criteria for the epic.
- Linked pilot(s) can exercise paths end-to-end.","Epic, Phase 1 - Returns API Core",High,Agentic Returns v0,Done,,
Epic: AEL-lite (Evidence Bundle + Basic Replay/Diff),"Append-only decision store with Decision BOM. Export signed Evidence Bundle; basic replay with pinned artifacts; simple diff reports.

Phase: Phase 2 - Core Add-on
Definition of Done:
- Meets spec acceptance criteria for the epic.
- Linked pilot(s) can exercise paths end-to-end.","Epic, Phase 2 - Core Add-on",High,Agentic Returns v0,Done,,
Epic: Adapter — Shopify,"Pilot-ready Shopify app: admin UI extension, webhooks mapping orders/fulfillments/returns to RT calls; contract tests against sandbox store.

Phase: Phase 2 - Adapters
Definition of Done:
- Meets spec acceptance criteria for the epic.
- Linked pilot(s) can exercise paths end-to-end.","Epic, Phase 2 - Adapters",High,Agentic Returns v0,In Progress,,
Epic: Adapter — Stripe (Webhook MVP),"Map refunds to Return Tokens via metadata contract; reconcile to /commit. Treat as enrichment; contract tests in Stripe test mode.

Phase: Phase 2 - Adapters
Definition of Done:
- Meets spec acceptance criteria for the epic.
- Linked pilot(s) can exercise paths end-to-end.","Epic, Phase 2 - Adapters",High,Agentic Returns v0,In Progress,,
Epic: Agent Protocol Orchestrator (Descriptor Lite),"Normalize optional agent headers/claims into an agent_descriptor; apply step-up ladders; maintain per-merchant revocations; privacy-safe by design.

Phase: Phase 3 - Agent Signals
Definition of Done:
- Meets spec acceptance criteria for the epic.
- Linked pilot(s) can exercise paths end-to-end.","Epic, Phase 3 - Agent Signals",High,Agentic Returns v0,Todo,,
Epic: Analyst Mini-Console / CLI,"Simulate decisions, adjust evidence ladders (non-enforcing in v0), export Evidence Bundles and replay packs.

Phase: Phase 3 - Tooling
Definition of Done:
- Meets spec acceptance criteria for the epic.
- Linked pilot(s) can exercise paths end-to-end.","Epic, Phase 3 - Tooling",High,Agentic Returns v0,Done,,
Epic: Pilot A — E-comm Cohort (incl. Bilt),"Run narrow SKU cohort with weekly before/after deltas and replay demos. Gate for approvals later.

Phase: Phase 4 - Pilots & Proof
Definition of Done:
- Meets spec acceptance criteria for the epic.
- Linked pilot(s) can exercise paths end-to-end.","Epic, Phase 4 - Pilots & Proof",High,Agentic Returns v0,Todo,,
Epic: Persona Harness v0 (Reports-only),"Two probes only (label request w/ incomplete evidence; instant refund inside/outside window). Headless runner + LLM-judge rubric; report only.

Phase: Phase 4 - Pilots & Proof
Definition of Done:
- Meets spec acceptance criteria for the epic.
- Linked pilot(s) can exercise paths end-to-end.","Epic, Phase 4 - Pilots & Proof",High,Agentic Returns v0,Todo,,
Epic: Observability & SRE,"Structured logs with trace_id; metrics; dashboards; alerts for replay drift, adapter failures, RT issuance errors.

Phase: Cross-cutting
Definition of Done:
- Meets spec acceptance criteria for the epic.
- Linked pilot(s) can exercise paths end-to-end.","Epic, Cross-cutting",High,Agentic Returns v0,Todo,,
